message,effect
Bank error in your favor. Collect $200,200
Doctor's fee. Pay $50,-50
From sale of stock you get $50,50
Holiday fund matures. Receive $100,100
Income tax refund. Collect $20,20
It is your birthday. Collect $50,50
Life insurance matures. Collect $100,100
Pay hospital fees of $100,-100
Pay school fees of $50,-50
Receive $25 consultancy fee,25
You are assessed for street repairs. Pay $40 per house and $115 per hotel you own.,-40
You have won second prize in a beauty contest. Collect $10,10
